Sheet,Metric,Month,MonthParsed,Value,Property,Year,Month_Name,Is_Negative
CRES,Property Asking Rent,2024-07,2024-07-01,271.161,,2024.0,July,False
CRES,Loss to lease,2024-07,2024-07-01,-52.711,,2024.0,July,True
CRES,Gross Scheduled Rent,2024-07,2024-07-01,218.45,,2024.0,July,False
CRES,Vacancy,2024-07,2024-07-01,-13.709700000000002,,2024.0,July,True
CRES,Non Revenue Units,2024-07,2024-07-01,-1.732,,2024.0,July,True
CRES,Concessions,2024-07,2024-07-01,-0.5333,,2024.0,July,True
CRES,Delinquency,2024-07,2024-07-01,-23.199150000000003,,2024.0,July,True
CRES,Effective Rental Income,2024-07,2024-07-01,179.27585,,2024.0,July,False
CRES,Parking Garage Income,2024-07,2024-07-01,0.0,,2024.0,July,False
CRES,Utility Income,2024-07,2024-07-01,6.79827,,2024.0,July,False
CRES,Other - Income,2024-07,2024-07-01,19.95066,,2024.0,July,False
CRES,Total Other Income,2024-07,2024-07-01,26.748929999999998,,2024.0,July,False
CRES,Net Eff. Gross Income,2024-07,2024-07-01,206.02478,,2024.0,July,False
CRES,General & Admin.,2024-07,2024-07-01,-9.551619999999998,,2024.0,July,True
CRES,Management Fee,2024-07,2024-07-01,-6.43959,,2024.0,July,True
CRES,Payroll,2024-07,2024-07-01,-27.558979999999995,,2024.0,July,True
CRES,Insurance,2024-07,2024-07-01,-5.45225,,2024.0,July,True
CRES,Property Taxes,2024-07,2024-07-01,-31.337,,2024.0,July,True
CRES,Leasing & Marketing,2024-07,2024-07-01,-5.23631,,2024.0,July,True
CRES,Professional fees,2024-07,2024-07-01,0.0,,2024.0,July,False
CRES,Landscaping,2024-07,2024-07-01,-2.55908,,2024.0,July,True
CRES,Security & Life Safety,2024-07,2024-07-01,0.09988,,2024.0,July,False
CRES,Repairs & Maintenance,2024-07,2024-07-01,-4.38872,,2024.0,July,True
CRES,Unit T/O Refurbishment,2024-07,2024-07-01,-5.72101,,2024.0,July,True
CRES,Utilities,2024-07,2024-07-01,-9.95882,,2024.0,July,True
